코드,현재가,등락률
005930,322500.0,7.86
000660,2150000.0,2.33
402340,1358000.0,10.59
005935,207000.0,6.98
009150,1714000.0,-5.04
005380,607000.0,1.68
373220,400000.0,4.03
032830,385500.0,5.62
329180,650000.0,0.62
028260,432000.0,5.37
000270,166800.0,6.92
207940,1295000.0,0.7
034020,93100.0,5.08
105560,161200.0,6.4
012450,1078000.0,6.31
012330,607000.0,5.38
055550,99600.0,2.79
034730,593000.0,3.13
006400,539000.0,8.12
068270,173000.0,4.09
066570,225500.0,-0.22
035420,247000.0,10.27
267260,1130000.0,9.39
010120,222500.0,-3.05
042660,112700.0,7.85
086790,121000.0,5.4
298040,3376000.0,4.0
005490,377000.0,5.31
006800,52300.0,2.35
000810,654000.0,-1.36
009540,398000.0,5.99
042700,361000.0,24.05
011070,1036000.0,-3.36
000150,1896000.0,16.96
010130,1201000.0,3.18
015760,37650.0,4.87
010140,26900.0,6.32
017670,103000.0,3.0
051910,345000.0,9.0
316140,31150.0,3.32
064350,208500.0,10.67
033780,187800.0,1.46
267250,244000.0,-0.61
307950,684000.0,-3.66
138040,108900.0,2.74
011200,20050.0,6.37
096770,106100.0,2.81
018260,237000.0,3.27
272210,96000.0,8.35
079550,772000.0,1.05
035720,41500.0,5.6
024110,21800.0,4.06
003670,199400.0,7.96
003550,106500.0,-0.93
278470,394000.0,-4.02
086280,208500.0,6.49
000720,157500.0,28.36
030200,54800.0,-8.67
047810,140900.0,-0.7
071050,240500.0,4.57
010950,111400.0,-1.5
006260,386500.0,3.48
323410,23750.0,1.5
005940,31750.0,1.76
259960,237000.0,1.72
0126Z0,446500.0,2.88
443060,247500.0,0.81
047050,59400.0,2.24
016360,118800.0,6.26
005830,148200.0,5.86
003490,26600.0,7.26
028050,47600.0,4.5
064400,92800.0,-0.22
039490,363500.0,6.44
161390,72000.0,1.27
352820,225000.0,3.21
003230,1145000.0,-2.64
047040,21850.0,6.85
000880,116300.0,-1.11
005387,241000.0,2.34
196170,337000.0,-2.88
247540,170000.0,3.47
086520,115700.0,6.34
277810,624000.0,3.14
036930,231000.0,-5.91
950160,102600.0,-0.39
058470,104500.0,4.71
028300,46100.0,-2.74
000250,261500.0,-0.57
240810,183300.0,30.0
087010,230000.0,-3.16
039030,612000.0,21.43
298380,91100.0,-2.15
440110,101000.0,1.71
141080,129200.0,-4.15
178320,75100.0,0.81
403870,71500.0,30.0
319660,169900.0,13.42
222800,130100.0,-2.4
108490,330000.0,15.18
319400,39150.0,-4.04
214370,74800.0,-8.78
095340,230000.0,20.73
347850,87500.0,-7.31
310210,193500.0,-6.52
084370,196100.0,9.98
095610,182200.0,6.8
080220,102500.0,5.67
031980,152300.0,13.74
145020,244500.0,-0.41
214450,289000.0,0.17
043260,46650.0,2.41
214150,43950.0,-6.19
064760,290000.0,4.5
067310,48950.0,2.09
005290,59000.0,6.5
357780,441500.0,24.37
131970,175000.0,14.98
263750,41150.0,0.24
010170,19040.0,11.54
226950,115200.0,-7.32
237690,122000.0,-0.97
131290,270500.0,4.04
257720,34650.0,-2.12
032820,17570.0,29.96
089030,65300.0,6.87
098460,39150.0,14.47
100790,38800.0,-7.84
082920,46900.0,2.4
089970,97000.0,13.98
290650,76900.0,-8.89
007390,32000.0,-0.62
058610,94700.0,3.61
140410,64700.0,3.52
083650,80600.0,30.0
218410,77000.0,2.8
068760,42900.0,0.12
035900,55900.0,1.82
030530,31000.0,8.58
078600,120800.0,3.16
420770,146000.0,-1.08
140860,339500.0,28.6
041510,83600.0,-5.86
0009K0,27200.0,0.0
323280,53600.0,3.28
437730,53700.0,2.48
060370,30300.0,4.3
347700,36700.0,-4.68
039200,39100.0,-3.69
031330,14960.0,-0.86
096530,28050.0,-0.36
475830,67900.0,-4.5
101490,63900.0,1.43
090710,11730.0,1.65
476830,92300.0,-0.54
099320,117800.0,3.61
295310,103400.0,-5.91
166090,73100.0,7.82
445680,68900.0,-0.72
195940,41700.0,-0.12
